shot_group,shot,time,time_from_group_lead,Year,Month,Day,Hour,Minute,Second,Source Location
P12,70,2025-06-14 14:19:40.334000,16.08,2025,6,14,14,19,40.3340000000298,12
P12,71,2025-06-14 14:19:44.100000,19.846,2025,6,14,14,19,44.0999999999777,12
P12,72,2025-06-14 14:19:48.107000,23.853,2025,6,14,14,19,48.1069999999627,12
P13,73,2025-06-14 14:20:16.444000,0.0,2025,6,14,14,20,16.4440000000149,13
P13,74,2025-06-14 14:20:23.457000,7.013,2025,6,14,14,20,23.4570000000522,13
P13,75,2025-06-14 14:20:31.123000,14.679,2025,6,14,14,20,31.1230000000224,13
P13,76,2025-06-14 14:20:35.381000,18.937,2025,6,14,14,20,35.3810000000522,13
P13,77,2025-06-14 14:20:39.036000,22.592,2025,6,14,14,20,39.0359999999628,13
P13,78,2025-06-14 14:20:42.950000,26.506,2025,6,14,14,20,42.9499999999553,13
P14,79,2025-06-14 14:25:26.451000,0.0,2025,6,14,14,25,26.451,14
P14,80,2025-06-14 14:26:05.989000,39.538,2025,6,14,14,26,5.9889999999404,14
P14,81,2025-06-14 14:26:10.254000,43.803,2025,6,14,14,26,10.2539999999553,14
P14,82,2025-06-14 14:26:18.521000,52.07,2025,6,14,14,26,18.5209999999478,14
P14,83,2025-06-14 14:26:23.297000,56.846,2025,6,14,14,26,23.2970000000224,14
P14,84,2025-06-14 14:26:28.017000,61.566,2025,6,14,14,26,28.0169999999926,14
P15,85,2025-06-14 14:28:41.212000,0.0,2025,6,14,14,28,41.2120000000596,15
P15,86,2025-06-14 14:28:48.201000,6.989,2025,6,14,14,28,48.201,15
P15,87,2025-06-14 14:29:12.308000,31.096,2025,6,14,14,29,12.3079999999627,15
P15,88,2025-06-14 14:29:21.827000,40.615,2025,6,14,14,29,21.8270000000447,15
P15,89,2025-06-14 14:29:26.299000,45.087,2025,6,14,14,29,26.299,15
P15,90,2025-06-14 14:29:31.937000,50.725,2025,6,14,14,29,31.9370000000373,15
P16,91,2025-06-14 14:31:57.634000,0.0,2025,6,14,14,31,57.6339999999628,16
P16,92,2025-06-14 14:32:08.590000,10.956,2025,6,14,14,32,8.5899999999702,16
P16,93,2025-06-14 14:32:12.512000,14.878,2025,6,14,14,32,12.5119999999851,16
P16,94,2025-06-14 14:32:16.176000,18.542,2025,6,14,14,32,16.1759999999777,16
P16,95,2025-06-14 14:32:23.591000,25.957,2025,6,14,14,32,23.5910000000149,16
P16,96,2025-06-14 14:32:27.169000,29.535,2025,6,14,14,32,27.1689999999926,16
S1_N,97,2025-06-14 14:44:08.716000,0.0,2025,6,14,14,44,8.7160000000149,17
S1_N,98,2025-06-14 14:44:13.262000,4.546,2025,6,14,14,44,13.2619999999851,17
S1_N,99,2025-06-14 14:44:17.191000,8.475,2025,6,14,14,44,17.1909999999926,17
S1_N,100,2025-06-14 14:44:21.431000,12.715,2025,6,14,14,44,21.4309999999851,17
S1_N,101,2025-06-14 14:44:25.331000,16.615,2025,6,14,14,44,25.3310000000075,17
S1_N,102,2025-06-14 14:44:29.142000,20.426,2025,6,14,14,44,29.1419999999926,17
S1_S,103,2025-06-14 14:44:47.198000,0.0,2025,6,14,14,44,47.1979999999777,18
S1_S,104,2025-06-14 14:44:51.149000,3.951,2025,6,14,14,44,51.1489999999777,18
S1_S,105,2025-06-14 14:44:55.132000,7.934,2025,6,14,14,44,55.1319999999851,18
S1_S,106,2025-06-14 14:44:59.007000,11.809,2025,6,14,14,44,59.0069999999851,18
S1_S,107,2025-06-14 14:45:03.456000,16.258,2025,6,14,14,45,3.45600000000745,18
S1_S,108,2025-06-14 14:45:07.400000,20.202,2025,6,14,14,45,7.40000000002235,18
S2_N,109,2025-06-14 14:46:10.614000,0.0,2025,6,14,14,46,10.6139999999404,19
S2_N,110,2025-06-14 14:46:14.456000,3.842,2025,6,14,14,46,14.4560000000075,19
S2_N,111,2025-06-14 14:46:18.435000,7.821,2025,6,14,14,46,18.4350000000596,19
