Receiver Number,x-coordinate (m),Node ID
1,0,26100
2,3,26207
3,6,26125
4,9,26190
5,12,26132
6,15,24131
7,18,26228
8,21,26144
9,24,26198
10,27,26138
11,30,26176
12,33,26165
13,36,25934
14,39,24638
15,42,24341
16,45,25794
17,48,25161
18,51,25770
19,54,26054
20,57,24311
21,60,24589
22,63,25954
23,66,24624
24,69,26107
25,72,26205
26,75,26185
27,78,25931
28,81,26073
29,84,26226
30,87,26218
