shot_group,shot,time,time_from_group_lead,year,month,day,hour,minute,second,latitude,longitude
P1,1,2025-06-19 14:53:20.460,0.0,2025,6,19,14,53,20.46,27.29899,-97.35566
P1,2,2025-06-19 14:53:46.880,26.42,2025,6,19,14,53,46.88,27.29899,-97.35566
P1,3,2025-06-19 14:54:17.710,57.25,2025,6,19,14,54,17.71,27.299,-97.35566
P1,4,2025-06-19 14:55:14.860,114.4,2025,6,19,14,55,14.86,27.29901,-97.3557
P1,5,2025-06-19 14:55:35.930,135.47,2025,6,19,14,55,35.93,27.29902,-97.3557
P1,6,2025-06-19 14:55:58.050,157.59,2025,6,19,14,55,58.05,27.29902,-97.3557
P2,7,2025-06-19 14:57:56.750,0.0,2025,6,19,14,57,56.75,27.29901,-97.35569
P2,8,2025-06-19 14:58:12.870,16.12,2025,6,19,14,58,12.87,27.29901,-97.35569
P2,9,2025-06-19 14:58:17.690,20.94,2025,6,19,14,58,17.69,27.29901,-97.3557
P2,10,2025-06-19 14:58:21.620,24.87,2025,6,19,14,58,21.62,27.29901,-97.3557
P2,11,2025-06-19 14:58:30.710,33.96,2025,6,19,14,58,30.71,27.29901,-97.3557
P2,12,2025-06-19 14:58:51.460,54.71,2025,6,19,14,58,51.46,27.29901,-97.3557
P3,13,2025-06-19 15:00:51.960,0.0,2025,6,19,15,0,51.96,27.299,-97.35566
P3,14,2025-06-19 15:00:56.240,4.28,2025,6,19,15,0,56.24,27.299,-97.35565
P3,15,2025-06-19 15:00:59.890,7.93,2025,6,19,15,0,59.89,27.29899,-97.35565
P3,16,2025-06-19 15:01:06.780,14.82,2025,6,19,15,1,6.78,27.299,-97.35565
P3,17,2025-06-19 15:01:14.090,22.13,2025,6,19,15,1,14.09,27.299,-97.35565
P3,18,2025-06-19 15:01:17.210,25.25,2025,6,19,15,1,17.21,27.299,-97.35565
P4,19,2025-06-19 15:01:59.430,0.0,2025,6,19,15,1,59.43,27.299,-97.35564
P4,20,2025-06-19 15:02:03.110,3.68,2025,6,19,15,2,3.11,27.299,-97.35564
P4,21,2025-06-19 15:02:06.970,7.54,2025,6,19,15,2,6.97,27.299,-97.35564
P4,22,2025-06-19 15:02:14.780,15.35,2025,6,19,15,2,14.78,27.299,-97.35563
P4,23,2025-06-19 15:02:17.510,18.08,2025,6,19,15,2,17.51,27.299,-97.35563
P4,24,2025-06-19 15:02:25.310,25.88,2025,6,19,15,2,25.31,27.299,-97.35562
P5,25,2025-06-19 15:05:06.240,0.0,2025,6,19,15,5,6.24,27.299,-97.35561
P5,26,2025-06-19 15:05:12.550,6.31,2025,6,19,15,5,12.55,27.299,-97.35561
P5,27,2025-06-19 15:05:22.080,15.84,2025,6,19,15,5,22.08,27.299,-97.35561
P5,28,2025-06-19 15:05:29.690,23.45,2025,6,19,15,5,29.69,27.299,-97.3556
P5,29,2025-06-19 15:05:47.030,40.79,2025,6,19,15,5,47.03,27.299,-97.3556
P5,30,2025-06-19 15:05:56.580,50.34,2025,6,19,15,5,56.58,27.299,-97.3556
P6,31,2025-06-19 15:07:43.250,0.0,2025,6,19,15,7,43.25,27.29898,-97.35558
P6,32,2025-06-19 15:07:58.170,14.92,2025,6,19,15,7,58.17,27.29898,-97.35557
P6,33,2025-06-19 15:08:08.070,24.82,2025,6,19,15,8,8.07,27.29898,-97.35557
P6,34,2025-06-19 15:08:20.300,37.05,2025,6,19,15,8,20.3,27.29898,-97.35557
P6,35,2025-06-19 15:08:25.210,41.96,2025,6,19,15,8,25.21,27.29898,-97.35557
P6,36,2025-06-19 15:08:29.180,45.93,2025,6,19,15,8,29.18,27.29898,-97.35557
P7,37,2025-06-19 15:10:28.310,0.0,2025,6,19,15,10,28.31,27.29898,-97.35555
P7,38,2025-06-19 15:10:34.550,6.24,2025,6,19,15,10,34.55,27.29898,-97.35555
P7,39,2025-06-19 15:10:39.120,10.81,2025,6,19,15,10,39.12,27.29898,-97.35555
P7,40,2025-06-19 15:10:43.340,15.03,2025,6,19,15,10,43.34,27.29898,-97.35555
P7,41,2025-06-19 15:10:52.290,23.98,2025,6,19,15,10,52.29,27.29898,-97.35555
P7,42,2025-06-19 15:10:57.330,29.02,2025,6,19,15,10,57.33,27.29898,-97.35555
P8,43,2025-06-19 15:12:46.120,0.0,2025,6,19,15,12,46.12,27.29897,-97.35554
P8,44,2025-06-19 15:12:54.530,8.41,2025,6,19,15,12,54.53,27.29897,-97.35553
P8,45,2025-06-19 15:12:58.210,12.09,2025,6,19,15,12,58.21,27.29897,-97.35553
P8,46,2025-06-19 15:13:05.410,19.29,2025,6,19,15,13,5.41,27.29896,-97.35553
P8,47,2025-06-19 15:13:08.960,22.84,2025,6,19,15,13,8.96,27.29896,-97.35552
P8,48,2025-06-19 15:13:12.780,26.66,2025,6,19,15,13,12.78,27.29896,-97.35552
P9,49,2025-06-19 15:14:32.560,0.0,2025,6,19,15,14,32.56,27.29894,-97.35547
